City ID,City Name,Cloudiness,Country,Humidity,Latitude,Temperature,Wind Speeds
3655720,Huaquillas,56.00%,EC,73.00%,-3.4811,78.24,9.01
1496511,Novyy Urengoy,56.00%,RU,75.00%,66.0833,13.41,15.73
3453439,Ponta do Sol,20.00%,BR,58.00%,-20.6335,73.26,5.77
5656882,Helena,20.00%,US,48.00%,46.5927,43.27,9.91
344979,Lebu,0.00%,ET,39.00%,8.9611,50.34,5.88
2562250,Zurrieq,8.00%,MT,99.00%,35.8311,54.0,18.41
2290609,Dabakala,68.00%,CI,40.00%,8.3632,80.49,3.98
64814,Bandarbeyla,0.00%,SO,100.00%,9.4942,79.27,14.5
2017155,Saskylakh,44.00%,RU,76.00%,71.965,-20.15,16.96
158514,Kaliua,48.00%,TZ,84.00%,-5.0595,63.59,4.76
5746545,Portland,92.00%,US,100.00%,45.5202,47.48,5.55
262462,Chara,0.00%,GR,85.00%,39.4167,45.12,2.53
4033356,Tiarei,92.00%,PF,99.00%,-17.5334,85.35,16.84
2122104,Petropavlovsk-Kamchatskiy,0.00%,RU,95.00%,53.0452,15.03,2.42
696581,Pomichna,92.00%,UA,98.00%,48.2433,38.5,10.47
5703670,Elko,0.00%,US,35.00%,40.8324,42.71,5.1
3356343,Karasburg,0.00%,NA,24.00%,-28.013,57.49,9.24
3837213,San Juan,32.00%,AR,30.00%,-31.5372,71.83,5.77
549748,Kholmogory,68.00%,RU,80.00%,64.227,8.82,2.98
1154689,Ko Samui,8.00%,TH,100.00%,9.5357,82.15,7.45
1637001,Luwuk,80.00%,ID,100.00%,-0.9504,74.82,2.64
2501152,Constantine,88.00%,DZ,96.00%,36.3645,41.63,4.88
1805987,Jiaozuo,0.00%,CN,76.00%,35.2076,40.03,2.64
6174914,Wadena,0.00%,CA,95.00%,51.95,33.94,14.05
545747,Komsomolets,0.00%,RU,86.00%,52.768,21.18,13.27
1633419,Padang,48.00%,ID,100.00%,-0.9248,81.41,5.1
2517679,Fortuna,0.00%,ES,42.00%,38.1801,53.87,12.71
2063056,Port Augusta,0.00%,AU,73.00%,-32.4909,46.98,6.89
1808534,Helong,8.00%,CN,98.00%,25.9445,43.79,2.3
2327546,Keita,8.00%,NG,70.00%,7.1,78.69,7.45
5681948,Fallon,68.00%,US,74.00%,46.8369,42.15,11.25
2189343,Kaeo,0.00%,NZ,73.00%,-35.1018,81.63,7.0
5491487,Silver City,56.00%,US,41.00%,32.7725,57.51,6.55
3421193,Paamiut,0.00%,GL,100.00%,61.994,20.14,31.16
466538,Yumaguzino,80.00%,RU,91.00%,52.9041,24.71,8.79
1524298,Aksu,0.00%,KZ,79.00%,52.0354,16.07,10.25
1712961,Gigmoto,56.00%,PH,100.00%,13.7796,75.72,12.15
3618522,Pearl Lagoon,56.00%,NI,99.00%,12.341,81.45,15.05
4267710,Sitka,92.00%,US,25.00%,37.175,79.77,15.73
3449747,Santa Vitoria do Palmar,0.00%,BR,81.00%,-33.5189,62.38,9.24
236950,Obo,68.00%,CF,92.00%,5.3941,70.61,1.86
3939761,Hualmay,12.00%,PE,66.00%,-11.0968,74.1,4.32
3653523,Palora,92.00%,EC,100.00%,-1.6984,63.18,1.41
1632694,Pangkalanbuun,44.00%,ID,95.00%,-2.6834,71.96,3.87
1794903,Shiyan,0.00%,CN,83.00%,32.6451,45.1,1.97
2019867,Mokhsogollokh,56.00%,RU,89.00%,61.3979,20.89,5.77
710381,Chudniv,48.00%,UA,87.00%,50.0524,24.73,4.43
2069194,Jamestown,20.00%,AU,82.00%,-33.2075,47.28,8.79
2062276,Roebourne,0.00%,AU,74.00%,-20.7724,76.59,8.23
3718426,Delmas,12.00%,HT,53.00%,18.5518,84.9,1.97
4494335,Sylva,56.00%,US,59.00%,35.3737,52.07,2.75
2303611,Axim,0.00%,GH,96.00%,4.8654,82.65,10.36
2146219,Hervey Bay,64.00%,AU,98.00%,-25.2986,77.95,13.38
1493197,Salekhard,68.00%,RU,70.00%,66.5375,-3.39,10.13
1151074,Prachuap Khiri Khan,64.00%,TH,96.00%,11.8064,71.11,2.42
2156927,Moree,0.00%,AU,67.00%,-29.4618,58.91,4.21
3402920,Careiro da Varzea,8.00%,BR,82.00%,-3.2003,84.43,4.09
2729907,Longyearbyen,0.00%,NO,87.00%,78.2198,4.51,2.08
5983430,Innisfail,20.00%,CA,90.00%,52.0201,46.08,5.99
3438102,Fuerte Olimpo,36.00%,BR,70.00%,-21.0386,74.01,8.79
4021858,Guerrero Negro,0.00%,MX,61.00%,27.971,64.99,19.64
3137942,Sola,68.00%,NO,100.00%,58.8861,34.9,19.3
506598,Ponyri,0.00%,RU,88.00%,52.3192,25.34,11.92
546105,Nikolskoye,0.00%,RU,67.00%,59.7035,18.27,5.66
4314550,Alexandria,0.00%,US,68.00%,31.3112,85.51,13.82
4736096,Texarkana,48.00%,US,68.00%,33.4418,84.63,13.15
3397967,Itaituba,32.00%,BR,78.00%,-4.2626,86.43,2.86
6944112,Forestville,0.00%,CA,83.00%,48.7394,33.82,4.32
3412093,Vestmannaeyjar,92.00%,IS,96.00%,63.4427,41.4,36.64
6111696,Port-Cartier,0.00%,CA,93.00%,50.0257,33.53,16.62
2524379,Lipari,56.00%,IT,100.00%,38.4674,55.06,17.07
1214488,Meulaboh,32.00%,ID,100.00%,4.1363,76.73,4.32
3465329,Coruripe,80.00%,BR,93.00%,-10.125,80.24,10.92
1689431,San Jose,20.00%,PH,96.00%,15.7917,63.77,1.74
6170031,Tuktoyaktuk,8.00%,CA,86.00%,69.444,-9.1,3.53
4501427,Port Elizabeth,0.00%,US,62.00%,39.3134,44.85,14.27
3652764,Puerto Ayora,20.00%,EC,92.00%,-0.7394,85.3,11.03
2339937,Auki,0.00%,NG,32.00%,12.1824,66.88,6.67
1264542,Jaisinghnagar,20.00%,IN,32.00%,23.6265,63.14,7.23
8010472,Belmonte,0.00%,PT,82.00%,40.3583,37.04,4.32
2175403,Bluff,92.00%,AU,90.00%,-23.58,72.54,4.88
4732862,Nome,0.00%,US,61.00%,30.0358,81.32,16.73
457954,Liepaja,12.00%,LV,82.00%,56.5167,28.17,17.52
3378644,Georgetown,92.00%,GY,73.00%,6.8026,79.27,8.46
4030556,Rikitea,64.00%,PF,100.00%,-23.1203,81.16,19.53
2013279,Vostok,20.00%,RU,66.00%,46.448,42.91,6.44
3466980,Caravelas,8.00%,BR,100.00%,-17.7297,81.05,10.69
2121909,Poronaysk,8.00%,RU,74.00%,49.2216,31.41,8.9
1159716,Sarakhs,0.00%,TM,59.00%,36.5399,60.75,5.99
3024035,Concarneau,92.00%,FR,97.00%,47.8757,48.88,14.72
3838859,Rio Gallegos,68.00%,AR,54.00%,-51.6227,66.11,23.89
4011743,Constitucion,8.00%,MX,16.00%,23.9912,85.78,13.15
1058381,Morondava,0.00%,MG,85.00%,-20.2954,82.8,7.67
3529654,Dzilam Gonzalez,0.00%,MX,31.00%,21.2833,96.53,8.12
2447416,Ayorou,0.00%,NE,17.00%,14.7336,66.47,8.57
1623890,Lamu,64.00%,ID,100.00%,0.5704,70.95,1.74
2121025,Srednekolymsk,0.00%,RU,75.00%,67.4555,-4.47,3.98
2630299,Hofn,92.00%,IS,98.00%,64.2539,39.6,25.9
2396853,Omboue,48.00%,GA,100.00%,-1.5747,82.49,9.8
286245,Sur,0.00%,OM,82.00%,22.5702,77.34,3.87
546282,Kologriv,88.00%,RU,76.00%,58.8255,17.04,5.32
4034496,Fare,100.00%,PF,96.00%,-16.7001,83.48,17.52
2219235,Awbari,0.00%,LY,21.00%,26.5897,45.18,4.21
6089245,Norman Wells,0.00%,CA,82.00%,65.2824,-0.13,3.65
3429732,Puerto Rico,44.00%,PY,69.00%,-26.817,71.56,2.98
3424607,Tasiilaq,80.00%,GL,94.00%,65.6145,25.5,19.53
2445553,Dogondoutchi,0.00%,NE,28.00%,13.6409,71.28,7.78
2332459,Lagos,12.00%,NG,83.00%,6.4551,81.39,8.12
73560,Lahij,20.00%,YE,94.00%,13.0567,65.57,3.2
1150965,Ranong,0.00%,TH,100.00%,9.9601,80.64,6.89
3356832,Henties Bay,0.00%,NA,96.00%,-22.1161,61.56,4.43
3831208,Qaanaaq,8.00%,GL,75.00%,77.484,-17.43,4.43
1337612,Dhidhdhoo,0.00%,MV,100.00%,6.8833,83.05,4.99
3464547,Dom Pedrito,44.00%,BR,71.00%,-30.9838,68.13,9.01
1651810,Airai,76.00%,TL,92.00%,-8.9266,68.5,1.63
3393692,Itarema,48.00%,BR,98.00%,-2.9248,76.23,1.97
1650434,Bambanglipuro,88.00%,ID,99.00%,-7.95,73.29,2.75
4020109,Atuona,92.00%,PF,100.00%,-9.8,78.3,16.73
3938415,Ilo,8.00%,PE,70.00%,-17.6476,72.16,3.98
3026644,Souillac,48.00%,FR,78.00%,45.6006,39.99,6.44
100926,Umm Lajj,32.00%,SA,86.00%,25.024,70.7,3.65
146639,Lasa,0.00%,CY,100.00%,34.9245,54.37,2.53
5855927,Hilo,0.00%,US,100.00%,19.7072,68.85,10.02
110690,Faya,0.00%,SA,26.00%,18.3851,53.47,7.67
553518,Vozrozhdeniye,20.00%,RU,91.00%,60.8612,16.12,6.33
2271968,Aljezur,0.00%,PT,93.00%,37.3149,57.04,16.51
3466165,Cidreira,92.00%,BR,83.00%,-30.1658,68.76,12.26
244878,Biltine,0.00%,TD,30.00%,14.5252,68.16,6.22
1131462,Uruzgan,32.00%,AF,58.00%,32.9278,28.18,1.86
